"key","ru"
"GAMEOVER_1","Пичаль бида. Всё пропало. Еж никого не спас и сам не спасся. Такие дела."
"OLDHOG_1","Вот и ты! Быстрее, нам надо спешить!"
"OLDHOG_2","Нашему лесу угрожает опастность, и нужна как можно скорее покинуть нашу нору!"
"OLDHOG_3","Мне нужна твоя помощь. Остальных ежей я уже отправил готовиться к уходу."
"OLDHOG_4","Еще не все знают о надвигающейся опасности! Найди всех, кто еще не знает, и приведи домой."
"OLDHOG_5","Быстрее, поторопись! У нас мало времени! Найди скорее наших ежей и верни домой."
"OLDHOG_6","Благодаря твоим стараниям, все ежи на месте и уже знают об опасности."
"OLDHOG_7","Теперь нам необходимо собрать еды с собой, ведь путь нам предстоит не близкий."
"OLDHOG_8","Но это будет уже на другой карте. Потому иди на все четыре стороны."
"OLDHOG_9","Иди в лес и собири все, что пригодно для еды. Но поторопись! Времени все меньше."
"OLDHOG_10","Боюсь, этого может не хватить. Постарайся найти еще немного."
"MOTHERHOG_1","Ууу, мои детки, убежали! И как теперь искать этих засранцев?"
"MOTHERHOG_2","Помоги найти моих малышей. Мы уже собирались домой, как они решили пошутить надо мной и скрылись в лесу."
"MOTHERHOG_3","Ты еще не нашел их? Поторопись, нам нельзя задерживаться!"
"MOTHERHOG_4","Спасибо тебе! Мы побежим скорей в нору. Не задерживайся!"
"_OLDHOG_1","Ох, сынок, печаль-беда со мной приключилась!"
"_OLDHOG_2","Эти гадкие белки забрали мою трость и теперь я не могу дойти до дома."
"_OLDHOG_3","Не мог бы ты достать мою палку? Они, кажись, наверх ее утащи *кряхтит*"
"_OLDHOG_4","Что, никак, проклятые, не хотят трость отдавать мою? Ух, я бы им! "
"SMALLHOG_1","Бида-бида. Наш братик ебнулся в яму и не может сам выбраться! "
"SMALLHOG_2","Помоги нам! Если ты сможешь найти палку подлиннее, то мы сможем достать его оттуда!"
"SMALLHOG_3","Но будь осторожен! Не уебись!"
"SMALLHOG_4","Спасибо! Пойдем к мамане!"
"SMALLHOG_5","Мы за тобой."
"INTRO_1","Я еж. Я живу в лесу – это логично."
"INTRO_2","Сейчас ночь. Время просыпаться. Я ночной еж."
"INTRO_3","Я проснулся и мне нужно пойти к старому ежинному пердуну. Он ждет меня."
"INTRO_4","Я ответственный еж."
